TANGGAL,RR,RH_AVG,TAVG,SS,FF_AVG
2023-05-04,68.1,88.0,26.8,5.12,3.0
2023-05-05,34.15,86.0,27.3,6.48,3.0
2023-05-06,0.2,84.0,27.3,4.4,3.0
2023-05-07,0.0,90.0,26.4,3.92,4.0
2023-05-08,58.8,90.0,26.3,2.48,3.0
2023-05-09,26.9,82.0,27.4,6.08,3.0
2023-05-10,0.0,79.0,28.3,7.44,3.0
2023-05-11,0.0,86.0,26.8,4.4,5.0
2023-05-12,0.0,77.0,28.1,8.0,5.0
2023-05-13,0.0,87.0,26.7,6.72,6.0
2023-05-14,12.8,75.0,27.1,6.88,4.0
2023-05-15,0.0,79.0,26.9,7.52,3.0
2023-05-16,0.0,74.0,27.2,7.04,4.0
2023-05-17,0.0,78.0,26.8,8.0,3.0
2023-05-18,0.0,80.0,27.1,0.48,3.0
2023-05-19,0.0,83.0,26.8,3.28,3.0
2023-05-20,0.2,82.0,27.6,3.04,3.0
2023-05-21,1.0,85.0,26.9,0.0,3.0
2023-05-22,3.0,83.0,26.4,7.6,3.0
2023-05-23,1.3,80.0,27.1,7.28,3.0
2023-05-24,0.0,82.0,27.0,6.0,3.0
2023-05-25,0.0,84.0,25.9,7.28,3.0
